gameId,Date,Season,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,HTGD,ATGD,DiffPts,DiffFormPts,f_cornersAgainstHome,f_cornersForHome,f_freesAgainstHome,f_freesForHome,f_goalsAgainstHome,f_goalsForHome,f_halfTimeGoalsAgainstHome,f_halfTimeGoalsForHome,f_redsAgainstHome,f_redsForHome,f_shotsAgainstHome,f_shotsForHome,f_shotsOnTargetAgainstHome,f_shotsOnTargetForHome,f_yellowsAgainstHome,f_yellowsForHome,f_cornersAgainstAway,f_cornersForAway,f_freesAgainstAway,f_freesForAway,f_goalsAgainstAway,f_goalsForAway,f_halfTimeGoalsAgainstAway,f_halfTimeGoalsForAway,f_redsAgainstAway,f_redsForAway,f_shotsAgainstAway,f_shotsForAway,f_shotsOnTargetAgainstAway,f_shotsOnTargetForAway,f_yellowsAgainstAway,f_yellowsForAway
32,2016-09-17,1617,Napoli,Bologna,H,1.25,6.0,12.0,1.75,-1.0,0.25,0.25,2.9302954844022664,5.958628262190937,12.001254877355343,13.720025097547106,1.3094841277622007,1.4113840905080293,0.2870728024940688,0.3859336091449187,0.0,0.0,13.062488970804496,15.61602713672281,5.327934746377522,5.524636771828004,1.7129271975059313,2.9934315013431108,4.29946471637811,4.614066390855082,19.087331620948607,13.912295837336524,1.2094272661320369,0.3843454049920589,1.0521950549989216,0.1921727024960294,0.1921727024960294,0.2858767475147546,12.067371228015135,9.329464128154347,3.821944667751613,3.306699868630027,3.2662496813787967,2.041508990019804
33,2016-09-18,1617,Cagliari,Atalanta,H,2.6,3.2,2.8,0.0,-1.0,-0.5,-0.5,8.272029702970297,6.320049504950495,14.828712871287127,14.338366336633664,1.3205445544554455,1.269554455445545,1.3205445544554455,0.7304455445544555,0.4499999999999999,0.0,12.565346534653466,11.225990099009902,4.902475247524753,4.381435643564357,1.5990099009900989,1.1314356435643564,6.115350679398444,5.132213093860904,12.358287092409954,14.240269798631402,1.5584792455049905,1.3156604772455445,0.2870728024940688,0.9662555636163996,0.157232211133115,0.0,14.657614556577322,11.251485264994804,4.441559969412364,3.359561577223976,2.4645987333581694,2.681555263622282
34,2016-09-18,1617,Crotone,Palermo,D,3.0,3.2,2.5,-1.0,-1.0,-0.25,-0.25,6.284876767122213,6.025842630536656,12.010019411384093,17.38636497323582,0.9275112252700926,1.2356228309248838,0.2858767475147546,0.3144644222662301,0.1286445363816395,0.5741456049881376,13.843983451304874,15.088919825101469,3.152251916629086,5.624948530420973,2.264661477225937,2.4411678202388187,5.227113193858942,8.439109037077705,11.959432167996706,10.77884747357895,0.9336875747534362,2.553851885257152,0.3843454049920589,0.923550518617282,0.0,0.0,11.43093272680928,20.15987921805455,4.060743906982216,6.50995078527872,1.6352816611438992,0.9686280661163506
35,2016-09-18,1617,Fiorentina,Roma,H,2.9,3.5,2.4,0.25,1.0,-0.25,-0.25,6.496284386580655,2.2308974333836598,15.502774455402834,12.111527224956372,2.233034646379483,1.3399149036293407,1.2106233211113508,0.2348777474951471,0.0,0.1921727024960294,19.081174878923942,8.694104037175741,7.995921648595126,4.246857904746966,1.620811356640066,2.765122252504853,4.276955353816592,5.487441422717202,15.359953726397524,14.922295641261934,1.5427736711044884,0.8274543636399284,0.6364777161232134,0.8274543636399284,0.5729495500088234,0.2870728024940688,12.24850493127586,11.18285915962432,3.933471892707986,4.183212093880512,2.583086606144977,2.387129664124233
36,2016-09-18,1617,Inter,Juventus,H,4.0,3.5,1.95,0.0,0.75,-1.25,-1.25,7.349424521087822,2.683163075233819,12.206995941256054,15.01831336640458,2.367855532244466,0.5842826611242917,0.7663183074841671,0.5842826611242917,0.0,0.1921727024960294,16.461304680300387,9.267269269230017,6.174486774769122,1.9521381933687576,1.1050371561341936,1.6269877061234097,3.637673771102528,4.775455383227779,13.739436481637616,16.43783455226368,2.012921315268328,0.9275112252700926,0.935275778906296,0.157232211133115,0.0,0.157232211133115,10.191408011607615,14.009980196466731,5.434050312738965,3.1236642418776097,1.842767788866885,2.601537224760299
37,2016-09-18,1617,Sassuolo,Genoa,H,2.2,3.2,3.5,-0.5,0.5,-0.75,-0.75,6.542303092096234,4.791239387462992,15.2608968451599,12.102252897002018,1.4353444050116664,0.7015940863904628,0.0,0.257289072763279,1.0439010999784315,0.0,15.58949824513245,12.55940079606282,5.582027803376404,3.8364149722554455,1.842767788866885,2.4933628752377404,5.190570267393478,4.35515917814405,13.389451020868949,13.978127923104216,1.164503435151437,1.1054849530690576,1.0222446214882432,0.4250201593394188,0.0,0.0,10.571062477824729,9.54425700738638,3.480830887333484,3.382977453794794,2.34581330838951,2.8672128503693197
38,2016-09-18,1617,Torino,Empoli,D,1.75,3.6,4.75,0.5,-0.5,0.0,0.0,6.085390123536432,6.136810953778666,12.784696642260426,13.658394348933976,1.4134228945585912,0.9739380059994196,0.4722446214882432,0.7152856175208852,0.1163935748153404,0.0,13.967340257394444,11.186165854917268,4.5866061348901725,3.2661710157081574,2.603660936038448,2.504531819501339,3.727603780279328,5.709639389736477,10.702256233267748,13.792744250556398,0.9693658678192432,1.5642679740670258,0.2125100796697094,0.5454278618198238,0.0,0.0,12.007320259329743,14.676819985162728,4.723289681643712,4.868901396639036,1.7874899203302903,2.73540302551366
39,2016-09-18,1617,Udinese,Chievo,A,2.0,3.25,4.0,-0.5,0.5,0.5,0.5,4.251251491791117,4.314308292745863,15.62525562042383,15.804644711802084,1.749830661548882,1.465808147598619,0.6923523529980968,0.8955972002709416,0.0,0.3761281166338742,10.141692739412315,13.48791891107312,4.801843369996452,4.390217075766861,2.1433409670031933,2.185562687481857,3.1394203786730315,6.255907492823275,13.462855207560558,11.018717543463534,0.5971212463310002,2.1238976873205813,0.1904622133341934,0.9261281166338742,0.4066590329968067,0.0,8.898206625165304,16.495174660516724,2.8807679901944976,5.982806502596522,2.81411798858175,1.716919330387382
40,2016-09-20,1617,Milan,Lazio,H,2.15,3.4,3.4,0.25,0.25,-0.25,-0.25,5.52423797696997,4.091239557462181,12.108294358610456,10.34811147308325,1.5055768796568074,1.3547688933329036,0.6663935748153405,0.7308970099667774,0.3547688933329032,0.3863819630358352,15.859444247330902,11.46729187497984,5.926279714866304,4.377621520498016,1.275931361481147,1.8955972002709416,4.176780847434364,4.714103645026567,12.139134526773985,17.685908119448637,0.9572949550008824,1.1447030450383329,0.157232211133115,0.0,0.0,0.7663183074841671,11.091194290308032,14.042410933118958,3.8635909099821575,5.313268367286915,2.0313719338836496,2.7270445677535733
41,2016-09-21,1617,Atalanta,Palermo,A,1.62,3.75,6.0,-1.0,-0.6,0.2,0.2,7.406320356094572,2.430659936135213,15.372186562590716,13.121497919556171,1.9127729574557304,1.5113618036964165,0.8961826274876625,0.4336064251846595,0.0,0.1422588136631938,18.800356417120927,8.77355578492404,6.438573686417444,3.923005838144696,1.9790342870044837,2.5663935748153404,6.219728735928781,3.544660194174757,12.672701028932684,16.571964003483533,2.5320452859400704,0.692258813663194,1.3464825984582138,0.4325242718446602,0.2597345418185337,0.1422588136631938,15.302549753249686,9.457584749862916,6.6486356159081375,2.224304099603265,1.0777553785117568,1.98360642518466
